Date,AVERAGE
2013-08-09,
2013-08-10,
2013-08-11,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-17,
2013-08-18,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-24,
2013-08-25,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-08-31,
2013-09-01,-0.355691892
2013-09-02,-0.351602925
2013-09-03,-0.342947729
2013-09-04,-0.329173066
2013-09-05,-0.310169307
2013-09-06,-0.286327209
2013-09-07,-0.258518807
2013-09-08,-0.228003592
2013-09-09,-0.196277007
2013-09-10,-0.164881899
2013-09-11,-0.135215241
2013-09-12,-0.108357885
2013-09-13,-0.084954929
2013-09-14,-0.065164748
2013-09-15,-0.048683361
2013-09-16,-0.034840671
2013-09-17,-0.022751606
2013-09-18,-0.011497708
2013-09-19,-0.000309784
2013-09-20,0.011277288
2013-09-21,0.02332484
2013-09-22,0.035460327
2013-09-23,0.046922861
2013-09-24,0.056678638
2013-09-25,0.063586994
2013-09-26,0.06659145
2013-09-27,
2013-09-28,
2013-09-29,
2013-09-30,
2013-10-01,
2013-10-02,
2013-10-03,
2013-10-04,
2013-10-05,
2013-10-06,
2013-10-07,
2013-10-08,
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-12,
2013-10-13,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-19,
2013-10-20,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-26,
2013-10-27,
2013-10-28,
2013-10-29,
2013-10-30,
2013-10-31,
2013-11-01,
2013-11-02,
2013-11-03,
2013-11-04,
2013-11-05,
2013-11-06,
2013-11-07,
2013-11-08,
2013-11-09,
2013-11-10,-0.465138573
2013-11-11,-0.46188138
2013-11-12,-0.456385085
2013-11-13,-0.449451643
2013-11-14,-0.441663305
2013-11-15,-0.433255578
2013-11-16,-0.42405143
2013-11-17,-0.413469147
2013-11-18,-0.400602944
2013-11-19,-0.384363671
2013-11-20,-0.363658244
2013-11-21,-0.337579186
2013-11-22,-0.305573527
2013-11-23,-0.26756467
2013-11-24,-0.224005775
2013-11-25,-0.175857081
2013-11-26,-0.124487172
2013-11-27,-0.071514958
2013-11-28,-0.018613717
2013-11-29,0.032691022
2013-11-30,0.081199761
2013-12-01,0.126166789
2013-12-02,0.167355616
2013-12-03,0.205015675
2013-12-04,0.239783051
2013-12-05,0.272521121
2013-12-06,0.3041254
2013-12-07,0.335325174
2013-12-08,0.366511825
2013-12-09,0.397622771
2013-12-10,0.428099598
2013-12-11,0.456928679
2013-12-12,0.482759553
2013-12-13,0.504084012
2013-12-14,0.519449196
2013-12-15,0.527674088
2013-12-16,0.528034669
2013-12-17,
2013-12-18,
2013-12-19,
2013-12-20,
2013-12-21,
2013-12-22,
2013-12-23,
2013-12-24,
2013-12-25,
2013-12-26,
2013-12-27,
2013-12-28,
2013-12-29,
2013-12-30,
2013-12-31,
2014-01-01,
2014-01-02,
2014-01-03,
2014-01-04,
2014-01-05,
2014-01-06,
2014-01-07,
2014-01-08,
2014-01-09,
2014-01-10,0.099586898
2014-01-11,0.106559175
2014-01-12,0.117550337
2014-01-13,0.131439004
2014-01-14,0.146907122
2014-01-15,0.16263003
2014-01-16,0.177464385
2014-01-17,0.190604126
2014-01-18,0.201680813
2014-01-19,0.210792026
2014-01-20,0.218454218
2014-01-21,0.363918294
2014-01-22,0.372331575
2014-01-23,0.377215952
2014-01-24,0.379132972
2014-01-25,
2014-01-26,
2014-01-27,
2014-01-28,
2014-01-29,
2014-01-30,
2014-01-31,
2014-02-01,
2014-02-02,0.365847312
2014-02-03,0.368764142
2014-02-04,0.373307906
2014-02-05,0.379495031
2014-02-06,0.38724925
2014-02-07,0.396373226
2014-02-08,0.40652328
2014-02-09,0.417195888
2014-02-10,0.427733173
2014-02-11,0.437350573
2014-02-12,0.445188341
2014-02-13,0.450383346
2014-02-14,0.452151989
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,
2014-02-19,
2014-02-20,
2014-02-21,
2014-02-22,
2014-02-23,
2014-02-24,
2014-02-25,
2014-02-26,
2014-02-27,
2014-02-28,
2014-03-01,
2014-03-02,
2014-03-03,
2014-03-04,
2014-03-05,
2014-03-06,
2014-03-07,
2014-03-08,
2014-03-09,
2014-03-10,
2014-03-11,
2014-03-12,
2014-03-13,
2014-03-14,
2014-03-15,
2014-03-16,
2014-03-17,
2014-03-18,
2014-03-19,
2014-03-20,
2014-03-21,
2014-03-22,
2014-03-23,
2014-03-24,
2014-03-25,
2014-03-26,
2014-03-27,
2014-03-28,
2014-03-29,
2014-03-30,
2014-03-31,
2014-04-01,
2014-04-02,
2014-04-03,
2014-04-04,
2014-04-05,
2014-04-06,
2014-04-07,
2014-04-08,
2014-04-09,
2014-04-10,
2014-04-11,
2014-04-12,
2014-04-13,-0.203855564
2014-04-14,-0.195086234
2014-04-15,-0.179995197
2014-04-16,-0.15927159
2014-04-17,-0.13411963
2014-04-18,-0.106137967
2014-04-19,-0.077152546
2014-04-20,-0.049025482
2014-04-21,-0.023462358
2014-04-22,-0.001843682
2014-04-23,0.014899619
2014-04-24,0.026352164
